State,Census_2000,Proj_2005,Proj_2010,Proj_2015,Proj_2020,Proj_2025,Proj_2030
Alabama,4447100,4527166,4596330,4663111,4728915,4800092,4874243
Alaska,626932,661110,694109,732544,774421,820881,867674
Arizona,5130632,5868004,6637381,7495238,8456448,9531537,10712397
Arkansas,2673400,2777007,2875039,2968913,3060219,3151005,3240208
California,33871648,36038859,38067134,40123232,42206743,44305177,46444861
Colorado,4301261,4617962,4831554,5049493,5278867,5522803,5792357
Connecticut,3405565,3503185,3577490,3635414,3675650,3691016,3688630
Delaware,783600,836687,884342,927400,963209,990694,1012658
District of Columbia,572059,551136,529785,506323,480540,455108,433414
Florida,15982378,17509827,19251691,21204132,23406525,25912458,28685769
Georgia,8186453,8925796,9589080,10230578,10843753,11438622,12017838
Hawaii,1211537,1276552,1340674,1385952,1412373,1438720,1466046
Idaho,1293953,1407060,1517291,1630045,1741333,1852627,1969624
Illinois,12419293,12699336,12916894,13097218,13236720,13340507,13432892
Indiana,6080485,6249617,6392139,6517631,6627008,6721322,6810108
Iowa,2926324,2973700,3009907,3026380,3020496,2993222,2955172
Kansas,2688418,2751509,2805470,2852690,2890566,2919002,2940084
Kentucky,4041769,4163360,4265117,4351188,4424431,4489662,4554998
Louisiana,4468976,4534310,4612679,4673721,4719160,4762398,4802633
Maine,1274923,1318557,1357134,1388878,1408665,1414402,1411097
Maryland,5296486,5600563,5904970,6208392,6497626,6762732,7022251
Massachusetts,6349097,6518868,6649441,6758580,6855546,6938636,7012009
Michigan,9938444,10207421,10428683,10599122,10695993,10713730,10694172
Minnesota,4919479,5174743,5420636,5668211,5900769,6108787,6306130
Mississippi,2844658,2915696,2971412,3014409,3044812,3069420,3092410
Missouri,5595211,5765166,5922078,6069556,6199882,6315366,6430173
Montana,902195,933005,968598,999489,1022735,1037387,1044898
Nebraska,1711263,1744370,1768997,1788508,1802678,1812787,1820247
Nevada,1998257,2352086,2690531,3058190,3452283,3863298,4282102
New Hampshire,1235786,1314821,1385560,1456679,1524751,1586348,1646471
New Jersey,8414350,8745279,9018231,9255769,9461635,9636644,9802440
New Mexico,1819046,1902057,1980225,2041539,2084341,2106584,2099708
New York,18976457,19258082,19443672,19546699,19576920,19540179,19477429
North Carolina,8049313,8702410,9345823,10010770,10709289,11449153,12227739
North Dakota,642200,635468,636623,635133,630112,620777,606566
Ohio,11353140,11477557,11576181,11635446,11644058,11605738,11550528
Oklahoma,3450654,3521379,3591516,3661694,3735690,3820994,3913251
Oregon,3421399,3596083,3790996,4012924,4260393,4536418,4833918
Pennsylvania,12281054,12426603,12584487,12710938,12787354,12801945,12768184
Rhode Island,1048319,1086575,1116652,1139543,1154230,1157855,1152941
South Carolina,4012012,4239310,4446704,4642137,4822577,4989550,5148569
South Dakota,754844,771803,786399,796954,801939,801845,800462
Tennessee,5689283,5965317,6230852,6502017,6780670,7073125,7380634
Texas,20851820,22775044,24648888,26585801,28634896,30865134,33317744
Utah,2233169,2417998,2595013,2783040,2990094,3225680,3485367
Vermont,608827,630979,652512,673169,690686,703288,711867
Virginia,7078515,7552581,8010245,8466864,8917395,9364304,9825019
Washington,5894121,6204632,6541963,6950610,7432136,7996400,8624801
West Virginia,1808344,1818887,1829141,1822758,1801112,1766435,1719959
Wisconsin,5363675,5554343,5727426,5882760,6004954,6088374,6150764
Wyoming,493782,507268,519886,528005,530948,529031,522979
